component_name,enabler_name,pdf_title,pdf_url,pdf_filename
"Berufsbildung, Arbeits- und Tarifrecht (§ 4 Abs. 7 Nr. 1)","13_Berufliche Fortbildung und Umschulung","13_Berufliche Fortbildung und Umschulung","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Berufsbildung_Arbeits-_und_Tarifrecht_par_4_Abs._7_Nr._1/13_Berufliche_Fortbildung_und_Umschulung/13_Berufliche_Fortbildung_und_Umschulung.pdf","13_Berufliche Fortbildung und Umschulung.pdf"
"Berufsbildung, Arbeits- und Tarifrecht (§ 4 Abs. 7 Nr. 1)","14_Lebensplanung","14_Lebensplanung","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Berufsbildung_Arbeits-_und_Tarifrecht_par_4_Abs._7_Nr._1/14_Lebensplanung/14_Lebensplanung.pdf","14_Lebensplanung.pdf"
"Betreiben von IT-Systemen (Vertiefung) (§ 4 Abs. 2 Nr. 8  J2)","01_Schichtenmodelle, z. B. OSI, TCP_IP benennen und zuordnen können","01_Schichtenmodelle, z. B. OSI, TCP_IP benennen und zuordnen können","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Betreiben_von_IT-Systemen_Vertiefung_par_4_Abs._2_Nr._8_J2/01_Schichtenmodelle_z._B._OSI_TCP_IP_benennen_und_zuordnen_koennen/01_Schichtenmodelle_z._B._OSI_TCP_IP_benennen_und_zuordnen_koennen.pdf","01_Schichtenmodelle, z. B. OSI, TCP_IP benennen und zuordnen können.pdf"
"Betreiben von IT-Systemen (Vertiefung) (§ 4 Abs. 2 Nr. 8  J2)","02_Netzwerkkomponenten vergleichen und beschreiben können","02_Netzwerkkomponenten vergleichen und beschreiben können","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Betreiben_von_IT-Systemen_Vertiefung_par_4_Abs._2_Nr._8_J2/02_Netzwerkkomponenten_vergleichen_und_beschreiben_koennen/02_Netzwerkkomponenten_vergleichen_und_beschreiben_koennen.pdf","02_Netzwerkkomponenten vergleichen und beschreiben können.pdf"
"Betreiben von IT-Systemen (Vertiefung) (§ 4 Abs. 2 Nr. 8  J2)","03_Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren","03_Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Betreiben_von_IT-Systemen_Vertiefung_par_4_Abs._2_Nr._8_J2/03_Netzwerkkonzepte_-topologien_-infrastrukturen_benennen_und_charakterisieren/03_Netzwerkkonzepte_-topologien_-infrastrukturen_benennen_und_charakterisieren.pdf","03_Netzwerkkonzepte (-topologien, -infrastrukturen) benennen und charakterisieren.pdf"
"Betreiben von IT-Systemen (Vertiefung) (§ 4 Abs. 2 Nr. 8  J2)","04_Situationsgerechte Auswahl einer passenden Programmiersprache begriinden konnen","04_Situationsgerechte Auswahl einer passenden Programmiersprache begriinden konnen","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Betreiben_von_IT-Systemen_Vertiefung_par_4_Abs._2_Nr._8_J2/04_Situationsgerechte_Auswahl_einer_passenden_Programmiersprache_begriinden_konnen/04_Situationsgerechte_Auswahl_einer_passenden_Programmiersprache_begriinden_konnen.pdf","04_Situationsgerechte Auswahl einer passenden Programmiersprache begriinden konnen.pdf"
"Betreiben von IT-Systemen (Vertiefung) (§ 4 Abs. 2 Nr. 8  J2)","05_Übertragungsprotokolle und ihre Eigenschaften erlautern und zielgerichtet einsetzen konnen  z. B","05_Übertragungsprotokolle und ihre Eigenschaften erlautern und zielgerichtet einsetze","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Betreiben_von_IT-Systemen_Vertiefung_par_4_Abs._2_Nr._8_J2/05_uebertragungsprotokolle_und_ihre_Eigenschaften_erlautern_und_zielgerichtet_einsetzen_konnen_z._B/05_uebertragungsprotokolle_und_ihre_Eigenschaften_erlautern_und_zielgerichtet_einsetze.pdf","05_Übertragungsprotokolle und ihre Eigenschaften erlautern und zielgerichtet einsetze.pdf"
"Betreiben von IT-Systemen (Vertiefung) (§ 4 Abs. 2 Nr. 8  J2)","06_Standortübergreifende und -unabhängige Kommunikation situationsgerecht","06_Standortübergreifende und -unabhängige Kommunikation situationsgerecht","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Betreiben_von_IT-Systemen_Vertiefung_par_4_Abs._2_Nr._8_J2/06_Standortuebergreifende_und_-unabhaengige_Kommunikation_situationsgerecht/06_Standortuebergreifende_und_-unabhaengige_Kommunikation_situationsgerecht.pdf","06_Standortübergreifende und -unabhängige Kommunikation situationsgerecht.pdf"
"Betreiben von IT-Systemen (Vertiefung) (§ 4 Abs. 2 Nr. 8  J2)","07_Netzwerkrelevante Dienste beschreiben können","07_Netzwerkrelevante Dienste beschreiben können","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Betreiben_von_IT-Systemen_Vertiefung_par_4_Abs._2_Nr._8_J2/07_Netzwerkrelevante_Dienste_beschreiben_koennen/07_Netzwerkrelevante_Dienste_beschreiben_koennen.pdf","07_Netzwerkrelevante Dienste beschreiben können.pdf"
"Betreiben von IT-Systemen (Vertiefung) (§ 4 Abs. 2 Nr. 8  J2)","08_Anforderungen an Verfügbarkeit von Anwen- dungsdiensten beurteilen können","08_Anforderungen an Verfügbarkeit von Anwen- dungsdiensten beurteilen können","https://ngpsgwwlnlliphfgtrya.supabase.co/storage/v1/object/public/content/enablers/Betreiben_von_IT-Systemen_Vertiefung_par_4_Abs._2_Nr._8_J2/08_Anforderungen_an_Verfuegbarkeit_von_Anwen-_dungsdiensten_beurteilen_koennen/08_Anforderungen_an_Verfuegbarkeit_von_Anwen-_dungsdiensten_beurteilen_koennen.pdf","08_Anforderungen an Verfügbarkeit von Anwen- dungsdiensten beurteilen können.pdf"
